First Name,Last Name,Username,Manager,Employee Role,Team,Course Code,Course Name,Due Date,Completed,Completed Date,Last Accessed,Email
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML113,Stress Management,,yes,,,Ruth.Nolan@brightspacedemo.com
Ruth,Nolan,Ruth.Nolan,Karen Lee,Education Technology Manager,Education Technology,ML115,Team Collaboration,,yes,,,Ruth.Nolan@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML106,Conflict Management,,yes,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML112,Setting Goals,,no,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML103,Active Listening,,no,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML108,Conflict Resolution,,no,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML110,Positive Communication,,yes,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML113,Stress Management,,yes,,,Sarah.Acres@brightspacedemo.com
Sarah,Acres,Sarah.Acres,Karen Lee,Office Manager,Administration,ML115,Team Collaboration,,yes,,,Sarah.Acres@brightspacedemo.com
Gabrielle,Walker,Gabrielle.Walker,Blake Rahman,Developer,Instructional Design,ML106,Conflict Management,,yes,,,Gabrielle.Walker@brightspacedemo.com
Gabrielle,Walker,Gabrielle.Walker,Blake Rahman,Developer,Instructional Design,ML103,Active Listening,,yes,,,Gabrielle.Walker@brightspacedemo.com
Gabrielle,Walker,Gabrielle.Walker,Blake Rahman,Developer,Instructional Design,ML110,Positive Communication,,no,,,Gabrielle.Walker@brightspacedemo.com
Gabrielle,Walker,Gabrielle.Walker,Blake Rahman,Developer,Instructional Design,ML113,Stress Management,,no,,,Gabrielle.Walker@brightspacedemo.com
Gabrielle,Walker,Gabrielle.Walker,Blake Rahman,Developer,Instructional Design,ML115,Team Collaboration,,no,,,Gabrielle.Walker@brightspacedemo.com
Faith,Graham,Faith.Graham,Blake Rahman,Curriculum Designer,Instructional Design,ML106,Conflict Management,,yes,,,Faith.Graham@brightspacedemo.com
Faith,Graham,Faith.Graham,Blake Rahman,Curriculum Designer,Instructional Design,ML103,Active Listening,,yes,,,Faith.Graham@brightspacedemo.com
Faith,Graham,Faith.Graham,Blake Rahman,Curriculum Designer,Instructional Design,ML110,Positive Communication,,yes,,,Faith.Graham@brightspacedemo.com
Faith,Graham,Faith.Graham,Blake Rahman,Curriculum Designer,Instructional Design,ML113,Stress Management,,yes,,,Faith.Graham@brightspacedemo.com
Faith,Graham,Faith.Graham,Blake Rahman,Curriculum Designer,Instructional Design,ML115,Team Collaboration,,no,,,Faith.Graham@brightspacedemo.com
Sebastian,Ogden,Sebastian.Ogden,Blake Rahman,Graphic Designer,Instructional Design,ML106,Conflict Management,,no,,,Sebastian.Ogden@brightspacedemo.com
Sebastian,Ogden,Sebastian.Ogden,Blake Rahman,Graphic Designer,Instructional Design,ML103,Active Listening,,no,,,Sebastian.Ogden@brightspacedemo.com
Sebastian,Ogden,Sebastian.Ogden,Blake Rahman,Graphic Designer,Instructional Design,ML110,Positive Communication,,no,,,Sebastian.Ogden@brightspacedemo.com
Sebastian,Ogden,Sebastian.Ogden,Blake Rahman,Graphic Designer,Instructional Design,ML113,Stress Management,,yes,,,Sebastian.Ogden@brightspacedemo.com
Sebastian,Ogden,Sebastian.Ogden,Blake Rahman,Graphic Designer,Instructional Design,ML115,Team Collaboration,,yes,,,Sebastian.Ogden@brightspacedemo.com
Charles,Mackenzie,Charles.Mackenzie,Blake Rahman,Multimedia Specialist,Instructional Design,ML103,Active Listening,,yes,,2021-07-15T15:35:01.021Z,Charles.Mackenzie@brightspacedemo.com
Charles,Mackenzie,Charles.Mackenzie,Blake Rahman,Multimedia Specialist,Instructional Design,ML110,Positive Communication,,yes,,2021-07-15T13:58:56.544Z,Charles.Mackenzie@brightspacedemo.com
Charles,Mackenzie,Charles.Mackenzie,Blake Rahman,Multimedia Specialist,Instructional Design,ML113,Stress Management,,yes,,,Charles.Mackenzie@brightspacedemo.com
Chloe,Poole,Chloe.Poole,Ruth Nolan,Education Technology Coordinator,Education Technology,ML106,Conflict Management,,yes,,,Chloe.Poole@brightspacedemo.com
Chloe,Poole,Chloe.Poole,Ruth Nolan,Education Technology Coordinator,Education Technology,ML103,Active Listening,,yes,,,Chloe.Poole@brightspacedemo.com
Chloe,Poole,Chloe.Poole,Ruth Nolan,Education Technology Coordinator,Education Technology,ML110,Positive Communication,,yes,,,Chloe.Poole@brightspacedemo.com
Chloe,Poole,Chloe.Poole,Ruth Nolan,Education Technology Coordinator,Education Technology,ML113,Stress Management,,yes,,,Chloe.Poole@brightspacedemo.com
Chloe,Poole,Chloe.Poole,Ruth Nolan,Education Technology Coordinator,Education Technology,ML115,Team Collaboration,,yes,,,Chloe.Poole@brightspacedemo.com
Angela,Martin,Angela.Martin,Ruth Nolan,Education Technology Specialist,Education Technology,ML106,Conflict Management,,yes,,,Angela.Martin@brightspacedemo.com
Angela,Martin,Angela.Martin,Ruth Nolan,Education Technology Specialist,Education Technology,ML103,Active Listening,,yes,,,Angela.Martin@brightspacedemo.com
Angela,Martin,Angela.Martin,Ruth Nolan,Education Technology Specialist,Education Technology,ML110,Positive Communication,,no,,,Angela.Martin@brightspacedemo.com
Angela,Martin,Angela.Martin,Ruth Nolan,Education Technology Specialist,Education Technology,ML113,Stress Management,,no,,,Angela.Martin@brightspacedemo.com
Angela,Martin,Angela.Martin,Ruth Nolan,Education Technology Specialist,Education Technology,ML115,Team Collaboration,,no,,,Angela.Martin@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML102,Accessibility,,no,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML106,Conflict Management,,yes,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML112,Setting Goals,,no,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML103,Active Listening,,yes,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML110,Positive Communication,,no,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML113,Stress Management,,yes,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML109,Orientation,,yes,,2020-03-09T21:32:48.213Z,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML116,Technology,,yes,,,Steven.Peake@brightspacedemo.com
Steven,Peake,Steven.Peake,Ruth Nolan,Education Technology Trainer,Education Technology,ML115,Team Collaboration,,no,,,Steven.Peake@brightspacedemo.com
Ben,Lipia,Ben.Lipia,Sarah Acres,Administrator Coordinator,Administration,ML106,Conflict Management,,no,,,Ben.Lipia@brightspacedemo.com
Ben,Lipia,Ben.Lipia,Sarah Acres,Administrator Coordinator,Administration,ML103,Active Listening,,yes,,,Ben.Lipia@brightspacedemo.com
Ben,Lipia,Ben.Lipia,Sarah Acres,Administrator Coordinator,Administration,ML110,Positive Communication,,yes,,,Ben.Lipia@brightspacedemo.com
Ben,Lipia,Ben.Lipia,Sarah Acres,Administrator Coordinator,Administration,ML113,Stress Management,,yes,,,Ben.Lipia@brightspacedemo.com
Ben,Lipia,Ben.Lipia,Sarah Acres,Administrator Coordinator,Administration,ML115,Team Collaboration,,yes,,,Ben.Lipia@brightspacedemo.com
Jamie,Mohammed,Jamie.Mohammed,Sarah Acres,Training Coordinator,Administration,ML106,Conflict Management,,yes,,,Jamie.Mohammed@brightspacedemo.com
Jamie,Mohammed,Jamie.Mohammed,Sarah Acres,Training Coordinator,Administration,ML103,Active Listening,,no,,,Jamie.Mohammed@brightspacedemo.com
Jamie,Mohammed,Jamie.Mohammed,Sarah Acres,Training Coordinator,Administration,ML110,Positive Communication,,no,,,Jamie.Mohammed@brightspacedemo.com
Jamie,Mohammed,Jamie.Mohammed,Sarah Acres,Training Coordinator,Administration,ML113,Stress Management,,no,,,Jamie.Mohammed@brightspacedemo.com
Jamie,Mohammed,Jamie.Mohammed,Sarah Acres,Training Coordinator,Administration,ML115,Team Collaboration,,yes,,,Jamie.Mohammed@brightspacedemo.com
Theresa,Hart,Theresa.Hart,Sarah Acres,Facilities Associate,Administration,ML106,Conflict Management,,yes,,,Theresa.Hart@brightspacedemo.com
Theresa,Hart,Theresa.Hart,Sarah Acres,Facilities Associate,Administration,ML103,Active Listening,,yes,,,Theresa.Hart@brightspacedemo.com
Theresa,Hart,Theresa.Hart,Sarah Acres,Facilities Associate,Administration,ML110,Positive Communication,,yes,,,Theresa.Hart@brightspacedemo.com
Theresa,Hart,Theresa.Hart,Sarah Acres,Facilities Associate,Administration,ML113,Stress Management,,yes,,,Theresa.Hart@brightspacedemo.com
Theresa,Hart,Theresa.Hart,Sarah Acres,Facilities Associate,Administration,ML115,Team Collaboration,,yes,,,Theresa.Hart@brightspacedemo.com
